"Qty;""Value"";""Device"";""Package"";""Parts"";""Description"";"""";",,,,,,,,,,
"1;""10K"";""RESISTOR0603"";""0603-RES"";""R2"";""Resistor"";"""";",,,,,,,,,,
"2;""10u"";""CAP1206"";""1206"";""CIN1"," CIN2"";""Capacitor"";"""";",,,,,,,,,
"1;""120k"";""RESISTOR0603"";""0603-RES"";""RR1_1%"";""Resistor"";"""";",,,,,,,,,,
"1;""15k"";""RESISTOR0603"";""0603-RES"";""RR2_1%"";""Resistor"";"""";",,,,,,,,,,
"11;""1K"";""RESISTOR0603"";""0603-RES"";""R3", R4, R5, R6, R7, R8, R9, R10, R11, R12," R13"";""Resistor"";"""";"
"1;""1M"";""RESISTOR0603"";""0603-RES"";""R14"";""Resistor"";"""";",,,,,,,,,,
"1;""1k"";""RESISTOR0603"";""0603-RES"";""R15"";""Resistor"";"""";",,,,,,,,,,
"3;""1u"";""CAP0603-CAP"";""0603-CAP"";""C5", CBOOT," CVCC"";""Capacitor"";"""";",,,,,,,,
"2;""22p"";""CAP0603-CAP"";""0603-CAP"";""C2"," C4"";""Capacitor"";"""";",,,,,,,,,
"1;""3.6u"";""NR8040T3R6N"";""NR8040T3R6N"";""U$9"";"""";"""";",,,,,,,,,,
"1;""33pF"";""CAP0603-CAP"";""0603-CAP"";""C1"";""Capacitor"";"""";",,,,,,,,,,
"2;""47u"";""CAP1206"";""1206"";""COUT1"," COUT2"";""Capacitor"";"""";",,,,,,,,,
"1;""550"";""RESISTOR0603"";""0603-RES"";""R1"";""Resistor"";"""";",,,,,,,,,,
"1;""IRF7821TRPBF"";""IRF7821TRPBF"";""SO-08"";""QQ1"";"""";"""";",,,,,,,,,,
"2;""M02SCREWTERM_HORIZ"";""M02SCREWTERM_HORIZ"";""PC_1935161"";""U$5"," U$6"";"""";"""";",,,,,,,,,
"1;""M02SCREWTERM_VERT"";""M02SCREWTERM_VERT"";""PC_1935310"";""U$7"";"""";"""";",,,,,,,,,,
"1;""Q_ATMEGA328P"";""Q_ATMEGA328P"";""DIP28"";""Q1"";""ATMEGA 328P in 28PIN PDIP package"";"""";",,,,,,,,,,
"1;""Q_OKI-78SR"";""Q_OKI-78SR"";""OKI-78SR_HORIZ"";""U$1"";""4.95W DC/DC Converter"";"""";",,,,,,,,,,
"1;""RT7258GSP"";""RT7258GSP"";""SOP08_W_EP"";""RT7258"";"""";"""";",,,,,,,,,,
"2;""SERVOHORIZ"";""SERVOHORIZ"";""78208-103HLF"";""U$2"," U$3"";"""";"""";",,,,,,,,,
"1;""VNH5XXX_HBRIDGEVNH5050A"";""VNH5XXX_HBRIDGEVNH5050A"";""POWERSSO-36_TP"";""U$4"";"""";"""";",,,,,,,,,,
"1;""XBEE-1B3"";""XBEE-1B3"";""XBEE-SMD"";""XB"";"""";"""";",,,,,,,,,,
"1;""X_HC49SCRYSTAL"";""X_HC49SCRYSTAL"";""HC-49"";""X1"";""CRYSTAL METAL CAN", 16MHZ, 18PF," HC-49/US"";"""";",,,,,,,
"1;""green"";""LED0603"";""LED-0603"";""D3"";""LEDs"";"""";",,,,,,,,,,
"1;""orange"";""LED0603"";""LED-0603"";""D2"";""LEDs"";"""";",,,,,,,,,,
"1;""red"";""LED0603"";""LED-0603"";""D1"";""LEDs"";"""";",,,,,,,,,,
